,state,customer lifetime value,education,gender,income,monthly premium auto,number of open complaints,policy type,total claim amount,vehicle class,sales channel,response
0,Arizona,4809.21696,College,M,48029,61,0.0,Corporate Auto,292.8,Four-Door Car,Agent,No
1,California,2228.525238,College,F,0,64,0.0,Personal Auto,744.924331,Four-Door Car,Call Center,No
2,Washington,14947.9173,Bachelor,M,22139,100,0.0,Personal Auto,480.0,SUV,Call Center,No
3,Oregon,22332.43946,College,M,49078,97,0.0,Corporate Auto,484.013411,Four-Door Car,Branch,Yes
4,Oregon,9025.067525,Bachelor,F,23675,117,,Personal Auto,707.925645,Four-Door Car,Branch,No
5,,4745.181764,High School or Below,M,50549,61,0.0,Personal Auto,292.8,Four-Door Car,Agent,
6,California,5035.035257,Doctor,F,37405,63,3.0,Corporate Auto,287.556107,Four-Door Car,Branch,No
7,California,4956.247235,High School or Below,M,87197,63,0.0,Personal Auto,247.402353,Two-Door Car,Branch,No
8,California,5989.773931,College,M,66839,154,0.0,Personal Auto,739.2,Sports Car,Branch,Yes
9,Oregon,17114.32815,Master,F,70961,85,0.0,Corporate Auto,408.0,Four-Door Car,Agent,No
10,Arizona,5154.764074,High School or Below,M,82730,127,0.0,Corporate Auto,442.521087,SUV,Branch,No
11,,2420.711888,Bachelor,M,31710,62,0.0,Corporate Auto,199.551735,Two-Door Car,Call Center,
12,Oregon,19955.25713,High School or Below,F,69096,99,0.0,Corporate Auto,64.669515,Four-Door Car,Agent,No
13,California,5454.587929,Master,M,66334,69,0.0,Personal Auto,331.2,Two-Door Car,Call Center,No
14,Arizona,12836.00951,High School or Below,M,0,116,0.0,Personal Auto,835.2,Two-Door Car,Agent,No
15,California,4626.801093,Master,F,79487,114,0.0,Special Auto,547.2,SUV,Branch,Yes
16,California,5326.677654,High School or Below,F,76717,66,0.0,Personal Auto,300.528579,Two-Door Car,Call Center,No
17,Oregon,2497.531509,High School or Below,M,0,69,0.0,Corporate Auto,272.381465,Two-Door Car,Branch,No
18,California,2736.352663,College,M,17533,73,0.0,Personal Auto,350.4,Two-Door Car,Agent,No
19,California,3746.751625,College,F,41479,94,1.0,Personal Auto,19.575683,Two-Door Car,Call Center,Yes
20,California,7247.313475,Bachelor,F,0,104,0.0,Personal Auto,499.2,SUV,Call Center,No
21,Oregon,6274.447705,High School or Below,F,13662,85,0.0,Personal Auto,408.0,Four-Door Car,Agent,No
22,Oregon,15031.5645,College,F,59456,189,0.0,Personal Auto,907.2,Luxury Car,Call Center,No
23,California,5107.071054,Bachelor,M,70174,64,,Personal Auto,128.90032,Four-Door Car,Agent,No
24,Oregon,2502.209885,High School or Below,M,0,74,1.0,Corporate Auto,355.2,Four-Door Car,Agent,No
25,Nevada,9521.222806,College,M,27769,121,0.0,Special Auto,123.15416,SUV,Agent,No
26,Arizona,8869.619888,College,F,81350,110,0.0,Personal Auto,228.185834,SUV,Branch,No
27,Oregon,4376.363592,Bachelor,F,63774,111,0.0,Personal Auto,60.036683,Four-Door Car,Agent,Yes
28,Nevada,2926.886293,College,F,92381,72,0.0,Special Auto,234.774747,Four-Door Car,Call Center,No
29,California,24706.92011,High School or Below,M,26307,73,0.0,Personal Auto,313.192439,Four-Door Car,Call Center,No
30,California,8491.465719,High School or Below,F,0,116,0.0,Personal Auto,1193.115879,Four-Door Car,Branch,No
31,California,9191.733549,Master,F,23823,115,0.0,Corporate Auto,567.48055,Sports Car,Branch,No
32,Arizona,5776.338737,High School or Below,F,27510,159,3.0,Corporate Auto,871.457982,SUV,Call Center,No
33,California,9115.57169,Bachelor,F,69588,114,0.0,Personal Auto,173.080024,SUV,Branch,No
34,California,4163.04081,College,F,43276,104,0.0,Personal Auto,499.2,SUV,Call Center,No
35,California,5264.642009,College,F,0,72,0.0,Special Auto,135.888306,Four-Door Car,Branch,No
36,California,3945.241604,College,M,28855,101,0.0,Personal Auto,647.442031,SUV,Call Center,No
37,Oregon,5176.730072,High School or Below,M,41533,65,0.0,Corporate Auto,232.879766,Four-Door Car,Agent,No
38,Arizona,4492.23348,Bachelor,F,21137,61,1.0,Personal Auto,292.8,Four-Door Car,Web,No
39,Oregon,8470.043225,Bachelor,F,0,82,0.0,Personal Auto,479.312226,Four-Door Car,Web,No
40,California,2880.348532,College,F,81565,71,0.0,Personal Auto,190.642833,Four-Door Car,Branch,No
41,Arizona,6182.618843,High School or Below,M,20072,82,0.0,Corporate Auto,473.266879,Four-Door Car,Agent,No
42,Nevada,9799.175061,College,M,22166,126,0.0,Personal Auto,604.8,SUV,Web,No
43,Arizona,5790.565333,Master,M,84551,72,0.0,Personal Auto,28.92584,Four-Door Car,Agent,No
44,Arizona,5041.447024,College,M,61972,64,2.0,Personal Auto,138.961963,Four-Door Car,Call Center,No
45,Arizona,5745.94334,Bachelor,F,57740,74,3.0,Personal Auto,269.905129,Four-Door Car,Web,No
46,Arizona,4827.77681,College,F,0,68,0.0,Personal Auto,326.4,Four-Door Car,Branch,No
47,California,7664.219255,College,M,60184,199,1.0,Personal Auto,161.61574,Luxury SUV,Web,No
48,California,3593.12645,College,F,18213,96,1.0,Corporate Auto,460.8,Four-Door Car,Branch,No
49,Nevada,9863.502214,Master,F,99654,121,0.0,Personal Auto,272.788141,SUV,Call Center,No
50,California,5111.304579,High School or Below,F,76448,63,0.0,Personal Auto,302.4,Four-Door Car,Web,No
51,Arizona,2590.096027,High School or Below,M,22398,67,,Personal Auto,321.6,Four-Door Car,Agent,No
52,Arizona,2452.491364,High School or Below,F,51085,62,1.0,Personal Auto,406.902001,Two-Door Car,Call Center,No
53,Oregon,2194.668123,College,M,0,62,0.0,Personal Auto,623.525433,Four-Door Car,Call Center,No
54,California,4473.883999,High School or Below,F,0,125,0.0,Personal Auto,600.0,SUV,Branch,No
55,Arizona,19435.62924,High School or Below,F,38688,249,0.0,Special Auto,2294.631639,Luxury Car,Agent,No
56,Oregon,2457.576007,High School or Below,F,52926,61,0.0,Personal Auto,292.8,Four-Door Car,Call Center,No
57,Oregon,6870.607058,College,M,0,105,0.0,Personal Auto,756.0,Four-Door Car,Branch,No
58,,14019.83314,College,M,31739,71,0.0,Personal Auto,469.882367,Two-Door Car,Call Center,
59,Arizona,5575.751228,High School or Below,M,91416,69,,Personal Auto,109.904496,Four-Door Car,Call Center,No
60,Oregon,5651.396772,Bachelor,M,44634,71,1.0,Personal Auto,396.035334,Four-Door Car,Branch,No
61,California,4556.068318,Bachelor,M,25617,63,0.0,Personal Auto,302.4,Two-Door Car,Call Center,No
62,,2108.493744,Bachelor,M,0,61,0.0,Personal Auto,351.85681,Two-Door Car,Agent,
63,Oregon,3095.705571,College,F,0,92,1.0,Personal Auto,774.892461,Two-Door Car,Web,No
64,Arizona,5860.16743,Bachelor,M,94527,73,0.0,Personal Auto,41.464402,Four-Door Car,Agent,No
65,Oregon,2300.691547,Bachelor,M,25905,63,0.0,Corporate Auto,302.4,Four-Door Car,Agent,Yes
66,California,4950.250892,High School or Below,F,27400,63,1.0,Personal Auto,302.4,Four-Door Car,Agent,No
67,Washington,7507.455372,College,M,60920,64,,Personal Auto,231.201886,Two-Door Car,Agent,Yes
68,Nevada,2224.089639,College,F,0,64,0.0,Corporate Auto,483.25721,Four-Door Car,Branch,No
69,Oregon,2867.312197,Bachelor,F,23376,78,0.0,Personal Auto,374.4,Four-Door Car,Call Center,Yes
70,Oregon,5427.174517,College,F,27677,72,1.0,Personal Auto,345.6,Four-Door Car,Agent,No
71,Arizona,12157.5413,High School or Below,M,40432,77,0.0,Personal Auto,369.6,Four-Door Car,Agent,No
72,California,8152.244431,High School or Below,M,0,79,0.0,Personal Auto,568.8,Four-Door Car,Agent,No
73,Arizona,2191.133237,College,M,0,61,1.0,Special Auto,439.2,Four-Door Car,Agent,No
74,Oregon,26346.08582,High School or Below,M,48268,223,0.0,Personal Auto,1605.6,Luxury SUV,Web,No
75,Oregon,2364.43161,College,M,46264,62,0.0,Corporate Auto,199.37361,Four-Door Car,Branch,No
76,California,2710.12066,Doctor,M,0,71,0.0,Personal Auto,340.8,Four-Door Car,Agent,No
77,Washington,74228.51604,High School or Below,M,0,242,0.0,Personal Auto,1742.4,Luxury Car,Branch,No
78,California,14687.07959,Bachelor,M,0,85,0.0,Personal Auto,612.0,Four-Door Car,Web,No
79,Arizona,9312.585034,High School or Below,M,75986,115,0.0,Personal Auto,89.119797,Four-Door Car,Call Center,No
80,California,7750.120323,College,F,22668,67,1.0,Personal Auto,33.718553,Four-Door Car,Branch,No
81,Washington,2540.689797,Master,M,42557,65,0.0,Personal Auto,57.562324,Four-Door Car,Agent,No
82,Arizona,2456.816127,High School or Below,M,0,73,0.0,Personal Auto,525.6,Four-Door Car,Branch,No
83,Oregon,3755.806897,High School or Below,F,56178,94,0.0,Personal Auto,451.2,Four-Door Car,Branch,No
84,Arizona,5181.054467,College,F,0,70,,Personal Auto,336.0,Four-Door Car,Branch,No
85,Oregon,32474.76977,High School or Below,M,71449,102,0.0,Personal Auto,734.4,SUV,Call Center,No
86,California,8349.523082,Bachelor,M,45428,109,,Corporate Auto,487.273964,SUV,Call Center,No
87,Oregon,8126.766397,College,F,14616,107,,Personal Auto,513.6,,Agent,No
88,Arizona,13466.92071,High School or Below,F,11432,119,,Corporate Auto,571.2,,Agent,Yes
89,Arizona,5210.348372,Bachelor,M,89781,66,0.0,Special Auto,37.960537,,Agent,No
90,Oregon,6941.872931,College,F,0,111,3.0,Personal Auto,532.8,SUV,Agent,No
91,California,7048.384055,College,M,24030,194,0.0,Personal Auto,970.688934,Luxury SUV,Agent,No
92,Arizona,26770.44534,College,F,26335,113,1.0,Personal Auto,355.818306,SUV,Call Center,No
93,Nevada,9549.113813,High School or Below,F,55986,119,0.0,Personal Auto,388.506303,SUV,Agent,No
94,Washington,4331.460674,High School or Below,F,82302,106,0.0,Personal Auto,722.178166,SUV,Branch,No
95,Washington,7294.492993,College,F,0,113,2.0,Personal Auto,733.737214,Sports Car,Call Center,No
96,Oregon,3289.120863,College,M,40097,92,4.0,Personal Auto,227.221652,Two-Door Car,Call Center,No
97,Oregon,2505.42043,Master,F,60546,63,0.0,Personal Auto,46.278027,,Branch,No
98,Arizona,3417.953745,High School or Below,F,72460,85,0.0,Personal Auto,370.018108,Four-Door Car,Call Center,No
99,California,16320.76716,High School or Below,F,0,247,3.0,Personal Auto,1778.4,Luxury Car,Branch,No
100,California,2838.067784,Bachelor,F,0,80,0.0,Personal Auto,336.50961,Four-Door Car,Web,No
101,California,4700.583771,College,F,76694,117,0.0,Personal Auto,561.6,SUV,Agent,No
102,Arizona,2471.528431,High School or Below,M,95697,61,0.0,Personal Auto,114.273025,Two-Door Car,Agent,Yes
103,Arizona,10130.93442,Doctor,F,59232,85,0.0,Corporate Auto,408.0,Two-Door Car,Branch,No
104,California,3419.108695,High School or Below,M,40272,86,0.0,Personal Auto,23.387192,Two-Door Car,Agent,No
105,California,23866.15656,High School or Below,F,0,81,1.0,Personal Auto,388.8,Four-Door Car,Branch,No
106,Arizona,8324.23271,High School or Below,M,0,121,,Corporate Auto,871.2,Sports Car,Branch,No
107,Arizona,3179.474225,Bachelor,F,65742,79,0.0,Personal Auto,277.360797,Four-Door Car,Call Center,No
108,Oregon,6672.127831,College,F,56830,83,,Personal Auto,319.799712,Two-Door Car,Agent,No
109,California,16407.66461,Bachelor,M,22103,109,0.0,Personal Auto,160.338007,Four-Door Car,Agent,No
110,Arizona,9371.773682,Bachelor,F,66325,117,0.0,Corporate Auto,497.719213,SUV,Agent,No
111,Arizona,4270.034394,College,M,0,122,0.0,Personal Auto,725.870693,SUV,Agent,Yes
112,California,5799.826802,College,M,60689,74,0.0,Corporate Auto,5.746657,Four-Door Car,Branch,No
113,Oregon,5096.673223,Master,F,22886,65,0.0,Corporate Auto,312.0,Four-Door Car,Agent,Yes
114,Nevada,15563.36944,Bachelor,F,0,253,5.0,Personal Auto,1214.4,Luxury Car,Web,No
115,Washington,7475.784971,Bachelor,F,29633,196,0.0,Corporate Auto,534.653787,Luxury Car,Agent,No
116,Oregon,9986.661111,High School or Below,M,24067,132,0.0,Corporate Auto,633.6,Sports Car,Branch,No
117,California,5568.656492,College,F,51489,139,0.0,Personal Auto,236.739322,SUV,Web,No
118,Washington,20579.69157,Bachelor,M,0,69,0.0,Personal Auto,566.673518,Four-Door Car,Call Center,No
119,Oregon,8276.44416,High School or Below,M,0,82,0.0,Personal Auto,590.4,Four-Door Car,Branch,No
120,California,4014.332715,Master,F,54054,99,0.0,Personal Auto,5.661684,Four-Door Car,Branch,No
121,Arizona,12989.81806,Bachelor,M,0,65,0.0,Personal Auto,312.0,Four-Door Car,Web,No
122,California,15114.40241,High School or Below,F,28513,100,1.0,Corporate Auto,480.0,SUV,Call Center,Yes
123,Washington,4709.52218,High School or Below,F,0,66,0.0,Personal Auto,470.576119,Four-Door Car,Agent,No
124,Oregon,2452.977288,College,M,79898,62,1.0,Corporate Auto,271.606799,Four-Door Car,Agent,No
125,California,3919.366722,High School or Below,F,66676,97,0.0,Personal Auto,558.099357,Four-Door Car,Agent,Yes
126,,4716.264294,High School or Below,M,25746,61,1.0,Corporate Auto,292.8,Four-Door Car,Agent,
127,Oregon,12332.51669,College,M,85789,105,2.0,Personal Auto,122.302824,Sports Car,Agent,No
128,California,35862.99324,High School or Below,M,26376,121,0.0,Personal Auto,580.8,SUV,Agent,No
129,Oregon,2398.354197,College,M,14321,65,0.0,Personal Auto,423.823547,Four-Door Car,Branch,No
130,California,6005.847375,College,M,13528,86,0.0,Personal Auto,412.8,Four-Door Car,Agent,Yes
131,,6265.343299,Doctor,F,0,84,1.0,Corporate Auto,481.025786,Four-Door Car,Agent,
132,California,8013.895125,Bachelor,M,65636,67,0.0,Personal Auto,321.6,Four-Door Car,Call Center,No
133,Washington,4979.079933,High School or Below,M,0,71,0.0,Personal Auto,340.8,Two-Door Car,Agent,No
134,Arizona,4834.710493,College,F,38713,66,4.0,Corporate Auto,316.8,Four-Door Car,Call Center,Yes
135,Nevada,3288.209809,College,M,0,102,1.0,Personal Auto,734.4,SUV,Call Center,No
136,Arizona,5525.470004,College,F,64816,69,0.0,Corporate Auto,331.2,Four-Door Car,Agent,No
137,Washington,9031.214859,Master,F,0,122,0.0,Corporate Auto,650.52179,Sports Car,Branch,Yes
138,California,4620.390087,College,F,0,130,0.0,Personal Auto,936.0,SUV,Agent,No
139,Washington,5552.596353,High School or Below,M,50470,71,0.0,Corporate Auto,377.498287,Two-Door Car,Call Center,No
140,Nevada,3842.028065,College,M,27906,102,0.0,Personal Auto,489.6,Four-Door Car,Call Center,No
141,California,5093.379714,Bachelor,F,91814,63,0.0,Personal Auto,167.037619,Two-Door Car,Call Center,No
